Run #: 1550	 PMT #: 7 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	430.16	0.703245	99.6128
2	454.47	0.703243	109.399
3	535.139	0.982493	127.372
4	1.23516e-322	0	6.90816e-310
5	436.907	0.581087	98.6378
6	685.315	1.19738	159.629
7	685.258	1.30305	193.537
8	639.406	1.30997	154.22
9	633.247	1.09003	159.267
10	625.367	1.48848	128.018
11	571.53	1.29839	139.219
12	533.459	0.766803	99.1936
13	604.45	0.849791	132.654
14	532.011	0.643063	109.864
15	376.237	0.551908	85.5583
16	6.90817e-310	0	6.86751e-322
